appId,appName,rank,cateId,cateName,tradeId,tradeName,developCompanyId,developCompanyAbbr,developCompanyFullName,monthActiveNums,monthActiveNumsRatio,dayActiveNums,dayActiveNumsRatio,status,statDateStr,monthStatDate,dayStatDate
4871627,全能车,1815,132,交通出行,1321286,共享单车,50700,前海鸿途,深圳市前海鸿途科技有限公司,57.7251805067,-0.1114531812202139,21.3222698767,0.1320300516982259,1,,1543593600000,1548691200000
5854839,腾讯广东麻将,1816,318,TAB(桌面游戏),3181058,棋牌,,,,57.60294153,-0.03950382019871897,44.0724050761,-0.005078410633284779,1,,1543593600000,1548691200000
3397053,欢乐真人麻将,1817,318,TAB(桌面游戏),3181058,棋牌,,,,57.5870585633,0.07954377800292647,,,1,,1543593600000,
3115194,神手麻将,1818,318,TAB(桌面游戏),3181058,棋牌,,,,57.5308077067,0.008741670223949274,,,1,,1543593600000,
3571240,顺联动力,1819,139,企业级应用,1191166,企业及应用,13824,顺联,浙江顺联网络科技有限公司,57.52185629,0.02972479955432792,,,1,,1543593600000,
2014656,画中画相机,1820,103,摄影摄像,1031028,拍照及图片处理,203,云图微动,北京云图微动科技有限公司,57.47042995,-0.04327308334005413,,,1,,1543593600000,
3688723,QQ华夏手游,1821,312,RPG(角色扮演游戏),3121039,ARPG(即时战斗角色扮演游戏),1,腾讯科技,深圳市腾讯计算机系统有限公司,57.42456421,-0.08563165917023091,,,1,,1543593600000,
3008675,多锐运动,1822,109,体育,1371278,运动健康,8554,湖南简成,湖南简成信息技术有限公司,57.4043483033,-0.021419222723655748,,,1,,1543593600000,
2673752,新概念英语(com.xiaobin.ncenglish),1823,101,教育,1011004,外语学习,12470,省心工作室,省心工作室,57.4005355233,0.02478904649046234,,,1,,1543593600000,
2039038,讯飞语音+,1824,112,应用管理,1111110,语音助手,18,科大讯飞,安徽科大讯飞信息科技股份有限公司,57.1539112267,0.06168339032220235,,,1,,1543593600000,
2846952,福利彩票(aolei.fc),1825,122,金融,1221201,彩票服务,220,傲雷科技,深圳市傲雷科技发展有限公司,57.03325663,-0.08341054101902191,,,1,,1543593600000,
2959033,一折特卖,1826,120,移动购物,1201183,特卖电商,9339,三零零,厦门三零零网络科技有限公司,57.03192075,-0.04181957651493067,28.2607817381,0.06142939059212205,1,,1543593600000,1548691200000
2015066,360云盘,1827,102,商务办公,1021017,云盘,4,奇虎360,北京奇虎科技有限公司,56.8106336267,-0.07184672266478825,,,1,,1543593600000,
3117203,天府手机银行,1828,122,金融,1251239,银行综合服务,13138,南充市商业银行,南充市商业银行股份有限公司,56.6420932233,0.036077774748928274,,,1,,1543593600000,
3558806,捕鱼总动员,1829,314,射击,3141047,横版射击,1746,上海零日,上海零日网络科技有限公司,56.6375306533,-0.07200819362538603,,,1,,1543593600000,
2972398,顺风车,1830,132,交通出行,1321285,城市用车,11794,郑州市小,郑州市小苗软件科技有限公司,56.6374301067,-0.06753763347557519,,,1,,1543593600000,
4749780,阿布睡前故事,1831,101,教育,1011007,儿童教育,1084,成都福宝,成都福宝科技有限公司,56.6067188867,0.027591838215125758,,,1,,1543593600000,
4731314,通卡出行,1832,132,交通出行,1171150,公共交通,33000,通卡智能,天津通卡智能网络科技股份有限公司,56.59679544,0.009366959777003926,,,1,,1543593600000,
